volts,inH20,pa,mps
-0.027,0.0803974365657541,19.98827737842,5.71261080859546
-0.017,0.110590443485854,27.4948126982858,6.69996194911959
-0.01,0.131725548329923,32.7493874221919,7.31220812258981
-0.008,0.137764149713943,34.2506944861651,7.47793428708104
-0.003,0.152860653173993,38.003962146098,7.87700991090442
-0.002,0.155879953866003,38.7546156780846,7.95442279008373
0.004,0.173995758018063,43.2585368700041,8.40393851981942
0.002,0.167957156634043,41.7572298060309,8.25681954938285
0.007,0.183053660094093,45.5104974659638,8.61991026668232
0.007,0.183053660094093,45.5104974659638,8.61991026668232
0.009,0.189092261478113,47.011804529937,8.7609341156916
0.012,0.198150163554142,49.2637651258967,8.96831293723851
0.007,0.183053660094093,45.5104974659638,8.61991026668232
0.014,0.204188764938162,50.7650721898699,9.10394148235111
0.015,0.207208065630172,51.5157257218565,9.17100361470816
0.015,0.207208065630172,51.5157257218565,9.17100361470816
0.014,0.204188764938162,50.7650721898699,9.10394148235111
0.019,0.219285268398212,54.5183398498028,9.43448644329185
0.019,0.219285268398212,54.5183398498028,9.43448644329185
0.017,0.213246667014192,53.0170327858296,9.30367781443575
0.024,0.234381771858262,58.2716075097357,9.75383608552256
0.024,0.234381771858262,58.2716075097357,9.75383608552256
0.022,0.228343170474242,56.7703004457626,9.62736749113735
0.022,0.228343170474242,56.7703004457626,9.62736749113735
0.028,0.246458974626302,61.2742216376821,10.001977081103
0.026,0.240420373242282,59.7729145737089,9.87868574037436
0.027,0.243439673934292,60.5235681056955,9.94052255889964
0.027,0.243439673934292,60.5235681056955,9.94052255889964
0.027,0.243439673934292,60.5235681056955,9.94052255889964
0.026,0.240420373242282,59.7729145737089,9.87868574037436
0.025,0.237401072550272,59.0222610417223,9.81645940093264
0.027,0.243439673934292,60.5235681056955,9.94052255889964
0.027,0.243439673934292,60.5235681056955,9.94052255889964
0.029,0.249478275318312,62.0248751696686,10.0630563109736
0.027,0.243439673934292,60.5235681056955,9.94052255889964
0.028,0.246458974626302,61.2742216376821,10.001977081103
0.028,0.246458974626302,61.2742216376821,10.001977081103
0.028,0.246458974626302,61.2742216376821,10.001977081103
0.028,0.246458974626302,61.2742216376821,10.001977081103
0.03,0.252497576010322,62.7755287016552,10.1237670412126
0.03,0.252497576010322,62.7755287016552,10.1237670412126
0.03,0.252497576010322,62.7755287016552,10.1237670412126
0.029,0.249478275318312,62.0248751696686,10.0630563109736
0.03,0.252497576010322,62.7755287016552,10.1237670412126
0.03,0.252497576010322,62.7755287016552,10.1237670412126
0.03,0.252497576010322,62.7755287016552,10.1237670412126
0.03,0.252497576010322,62.7755287016552,10.1237670412126
0.029,0.249478275318312,62.0248751696686,10.0630563109736
0.03,0.252497576010322,62.7755287016552,10.1237670412126
0.031,0.255516876702332,63.5261822336418,10.1841158620501
0.03,0.252497576010322,62.7755287016552,10.1237670412126
0.031,0.255516876702332,63.5261822336418,10.1841158620501
0.03,0.252497576010322,62.7755287016552,10.1237670412126
0.03,0.252497576010322,62.7755287016552,10.1237670412126
0.03,0.252497576010322,62.7755287016552,10.1237670412126
0.03,0.252497576010322,62.7755287016552,10.1237670412126
0.03,0.252497576010322,62.7755287016552,10.1237670412126
0.03,0.252497576010322,62.7755287016552,10.1237670412126
0.029,0.249478275318312,62.0248751696686,10.0630563109736
0.032,0.258536177394342,64.2768357656284,10.2441091695948
0.03,0.252497576010322,62.7755287016552,10.1237670412126
0.03,0.252497576010322,62.7755287016552,10.1237670412126
0.03,0.252497576010322,62.7755287016552,10.1237670412126
0.03,0.252497576010322,62.7755287016552,10.1237670412126
0.029,0.249478275318312,62.0248751696686,10.0630563109736
0.029,0.249478275318312,62.0248751696686,10.0630563109736
0.031,0.255516876702332,63.5261822336418,10.1841158620501
0.031,0.255516876702332,63.5261822336418,10.1841158620501
0.031,0.255516876702332,63.5261822336418,10.1841158620501
0.031,0.255516876702332,63.5261822336418,10.1841158620501
0.031,0.255516876702332,63.5261822336418,10.1841158620501
0.03,0.252497576010322,62.7755287016552,10.1237670412126
